Company,TypeName,Inches,RamGB,OpSys,WeightKG,Price,GHz,CpuBrand,CpuVersion,MainMemory,SecondMemory,MainMemoryType,SecondMemoryType,TouchScreen,Resolution,PanelType,GpuBrand,GpuVersion
Apple,Ultrabook,13.3,8,macOS,1.37,71378.6832,2.3,Intel, Core i5 ,128,0.0,SSD,None,0,2560x1600,IPSPanelRetinaDisplay,Intel, Iris Plus Graphics 640
Apple,Ultrabook,13.3,8,macOS,1.34,47895.5232,1.8,Intel, Core i5 ,128,0.0,FlashStorage,None,0,1440x900,Without,Intel, HD Graphics 6000
HP,Notebook,15.6,8,No OS,1.86,30636.0,2.5,Intel, Core i5 7200U ,256,0.0,SSD,None,0,1920x1080,Without,Intel, HD Graphics 620
Apple,Ultrabook,15.4,16,macOS,1.83,135195.33599999998,2.7,Intel, Core i7 ,512,0.0,SSD,None,0,2880x1800,IPSPanelRetinaDisplay,AMD, Radeon Pro 455
Apple,Ultrabook,13.3,8,macOS,1.37,96095.808,3.1,Intel, Core i5 ,256,0.0,SSD,None,0,2560x1600,IPSPanelRetinaDisplay,Intel, Iris Plus Graphics 650
Acer,Notebook,15.6,4,Windows 10,2.1,21312.0,3.0,AMD, A9-Series 9420 ,500,0.0,HDD,None,0,1366x768,Without,AMD, Radeon R5
Apple,Ultrabook,15.4,16,Mac OS X,2.04,114017.6016,2.2,Intel, Core i7 ,256,0.0,FlashStorage,None,0,2880x1800,IPSPanelRetinaDisplay,Intel, Iris Pro Graphics
Apple,Ultrabook,13.3,8,macOS,1.34,61735.536,1.8,Intel, Core i5 ,256,0.0,FlashStorage,None,0,1440x900,Without,Intel, HD Graphics 6000
Asus,Ultrabook,14.0,16,Windows 10,1.3,79653.59999999999,1.8,Intel, Core i7 8550U ,512,0.0,SSD,None,0,1920x1080,Without,Nvidia, GeForce MX150
Acer,Ultrabook,14.0,8,Windows 10,1.6,41025.6,1.6,Intel, Core i5 8250U ,256,0.0,SSD,None,0,1920x1080,IPSPanel,Intel, UHD Graphics 620
HP,Notebook,15.6,4,No OS,1.86,20986.992,2.5,Intel, Core i5 7200U ,500,0.0,HDD,None,0,1366x768,Without,Intel, HD Graphics 620
HP,Notebook,15.6,4,No OS,1.86,18381.0672,2.0,Intel, Core i3 6006U ,500,0.0,HDD,None,0,1920x1080,Without,Intel, HD Graphics 520
Apple,Ultrabook,15.4,16,macOS,1.83,130001.6016,2.8,Intel, Core i7 ,256,0.0,SSD,None,0,2880x1800,IPSPanelRetinaDisplay,AMD, Radeon Pro 555
Dell,Notebook,15.6,4,Windows 10,2.2,26581.392,2.0,Intel, Core i3 6006U ,256,0.0,SSD,None,0,1920x1080,Without,AMD, Radeon R5 M430
Apple,Ultrabook,12.0,8,macOS,0.92,67260.672,1.2,Intel, Core M m3 ,256,0.0,SSD,None,0,2304x1440,IPSPanelRetinaDisplay,Intel, HD Graphics 615
Apple,Ultrabook,13.3,8,macOS,1.37,80908.344,2.3,Intel, Core i5 ,256,0.0,SSD,None,0,2560x1600,IPSPanelRetinaDisplay,Intel, Iris Plus Graphics 640
Dell,Notebook,15.6,8,Windows 10,2.2,39693.6,2.7,Intel, Core i7 7500U ,256,0.0,SSD,None,0,1920x1080,Without,AMD, Radeon R5 M430
Apple,Ultrabook,15.4,16,macOS,1.83,152274.24,2.9,Intel, Core i7 ,512,0.0,SSD,None,0,2880x1800,IPSPanelRetinaDisplay,AMD, Radeon Pro 560
Lenovo,Notebook,15.6,8,No OS,2.2,26586.72,2.4,Intel, Core i3 7100U ,1000,0.0,HDD,None,0,1920x1080,Without,Nvidia, GeForce 940MX
Dell,Ultrabook,13.3,8,Windows 10,1.22,52161.12,1.6,Intel, Core i5 8250U ,128,0.0,SSD,None,1,1920x1080,IPSPanel,Intel, UHD Graphics 620
Asus,Netbook,11.6,2,Windows 10,0.98,10224.432,1.44,Intel, Atom x5-Z8350 ,32,0.0,FlashStorage,None,0,1366x768,Without,Intel, HD Graphics 400
Lenovo,Gaming,15.6,8,Windows 10,2.5,53226.72,2.5,Intel, Core i5 7300HQ ,128,1000.0,SSD,HDD,0,1920x1080,IPSPanel,Nvidia, GeForce GTX 1050
HP,Notebook,15.6,4,No OS,1.86,13746.24,1.5,AMD, E-Series E2-9000e ,500,0.0,HDD,None,0,1366x768,Without,AMD, Radeon R2
Dell,2 in 1 Convertible,13.3,8,Windows 10,1.62,43636.32,1.6,Intel, Core i5 8250U ,256,0.0,SSD,None,1,1920x1080,Without,Intel, UHD Graphics 620
HP,Ultrabook,15.6,8,Windows 10,1.91,35111.52,1.8,Intel, Core i7 8550U ,256,0.0,SSD,None,0,1920x1080,Without,Intel, HD Graphics 620
Dell,Notebook,15.6,4,Windows 10,2.3,22305.1392,2.0,Intel, Core i3 6006U ,1000,0.0,HDD,None,0,1366x768,Without,Intel, HD Graphics 520
Apple,Ultrabook,13.3,8,Mac OS X,1.35,58554.72,1.6,Intel, Core i5 ,128,0.0,FlashStorage,None,0,1440x900,Without,Intel, HD Graphics 6000
Dell,Notebook,15.6,8,Windows 10,2.2,42624.0,1.6,Intel, Core i5 8250U ,256,0.0,SSD,None,0,1920x1080,Without,AMD, Radeon 530
Dell,Ultrabook,15.6,8,Windows 10,1.88,69157.44,1.9,Intel, Core i7 8650U ,256,256.0,SSD,SSD,0,1920x1080,Without,Intel, UHD Graphics 620
HP,Notebook,17.3,8,Windows 10,2.5,47738.88,1.6,Intel, Core i5 8250U ,1000,0.0,HDD,None,0,1920x1080,Without,Nvidia, GeForce 930MX
Chuwi,Notebook,15.6,4,Windows 10,1.89,13053.0672,1.44,Intel, Atom x5-Z8300 ,64,0.0,FlashStorage,None,0,1920x1080,Without,Intel, HD Graphics
Asus,Notebook,14.0,2,Windows 10,1.65,10602.72,1.5,AMD, E-Series E2-6110 ,32,0.0,FlashStorage,None,0,1366x768,Without,AMD, Radeon R2
HP,Notebook,17.3,4,Windows 10,2.71,23389.92,2.5,AMD, A6-Series 9220 ,500,0.0,HDD,None,0,1920x1080,Without,AMD, Radeon 530
Dell,Ultrabook,13.3,16,Windows 10,1.2,99580.32,1.8,Intel, Core i7 8550U ,512,0.0,SSD,None,1,3200x1800,Without,Intel, UHD Graphics 620
Apple,Ultrabook,13.3,8,Mac OS X,1.35,53173.44,1.6,Intel, Core i5 ,256,0.0,FlashStorage,None,0,1440x900,Without,Intel, HD Graphics 6000
Lenovo,Notebook,14.0,4,Windows 10,1.44,13266.72,1.1,Intel, Celeron Dual Core N3350 ,64,0.0,FlashStorage,None,0,1366x768,Without,Intel, HD Graphics 500
Acer,Notebook,15.6,4,Linux,2.1,19553.76,2.7,Intel, Core i3 7130U ,1000,0.0,HDD,None,0,1366x768,Without,Intel, HD Graphics 620
Dell,Notebook,17.3,8,Windows 10,2.8,52161.12,1.6,Intel, Core i5 8250U ,128,1000.0,SSD,HDD,0,1920x1080,IPSPanel,AMD, Radeon 530
HP,Notebook,15.6,4,Windows 10,1.86,26037.4032,2.5,Intel, Core i5 7200U ,1000,0.0,HDD,None,0,1366x768,Without,Intel, HD Graphics 620
HP,Notebook,15.6,8,Windows 10,2.1,46833.12,1.6,Intel, Core i5 8250U ,256,0.0,SSD,None,0,1920x1080,Without,Nvidia, GeForce 930MX 
Asus,Notebook,15.6,4,Linux,2.0,20725.92,2.0,Intel, Core i3 6006U ,1000,0.0,HDD,None,0,1920x1080,Without,Intel, HD Graphics 620
Dell,Gaming,15.6,16,Windows 10,2.65,79866.72,2.8,Intel, Core i7 7700HQ ,256,1000.0,SSD,HDD,0,1920x1080,IPSPanel,Nvidia, GeForce GTX 1060
Asus,Notebook,15.6,8,Linux,2.3,27864.9072,2.5,Intel, Core i5 7200U ,1000,0.0,HDD,None,0,1366x768,Without,Nvidia, GeForce 940MX
Acer,Notebook,15.6,4,Windows 10,2.2,36336.96,1.6,Intel, Core i5 8250U ,256,0.0,SSD,None,0,1920x1080,IPSPanel,Intel, UHD Graphics 620
Dell,2 in 1 Convertible,17.3,12,Windows 10,2.77,53226.72,1.6,Intel, Core i5 8250U ,1000,0.0,HDD,None,1,1920x1080,Without,Nvidia, GeForce 150MX
Apple,Ultrabook,13.3,8,macOS,1.37,75604.31999999999,2.0,Intel, Core i5 ,256,0.0,SSD,None,0,2560x1600,IPSPanelRetinaDisplay,Intel, Iris Graphics 540
Lenovo,Notebook,15.6,4,No OS,2.2,19660.32,2.0,Intel, Core i3 6006U ,128,0.0,SSD,None,0,1366x768,Without,Intel, HD Graphics 520
